Priority,Company,Reviews,Rating,Phone,Address,Website,Pitch Group,Instagram,Instagram URL,Facebook,Email,Best Channels,Chat Widget (scan/check),After-hours test date/time,Test result (voicemail/no answer/answered),Status,Date Contacted,Follow-up Date,Notes
A - best fit,Legacy Roofing,106,5.0,(623) 209-6696,42302 N Vision Way Ste 117,legacyroofingnow.com,Has website - sell AI receptionist + chat,@legacyroofingnow,https://www.instagram.com/legacyroofingnow/,facebook.com/legacyroofingnow,info@legacyroofingnow.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Allstate Roofing Inc.,109,4.9,(602) 620-2755,30521 N 126th Dr,allstateroofingaz.com/peoria,Has website - sell AI receptionist + chat,@allstateroofingaz,https://www.instagram.com/allstateroofingaz/,facebook.com/Allstate-Roofing-Inc-108246941096487,info@allstateroofingaz.com; kathy@allstateroofingaz.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,"Almeida Roofing, Inc.",112,4.5,(602) 743-3175,,almeidaroofing.com,Has website - sell AI receptionist + chat,@almeidaroofing,https://www.instagram.com/almeidaroofing/,facebook.com/almeida.roofing,almeidaroofinginc1@gmail.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Crew Contracting,116,5.0,(602) 695-2827,1050 N Fairway Dr Suite H-106,crewcontractingllc.com,Has website - sell AI receptionist + chat,@crewcontractingaz,https://www.instagram.com/crewcontractingaz/,facebook.com/crewcontractingaz,crewcontractingaz@gmail.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Tip Top Roofing Service,129,5.0,(480) 877-1643,6830 E 5th Ave Ste 205,tiptoproofingservice.com,Has website - sell AI receptionist + chat,@tiptop.roofing_service,https://www.instagram.com/tiptop.roofing_service/,facebook.com/p/Tip-Top-Roofing-Service-61567418979005,info@tiptoproofingservice.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Advanced Quality Roofing LLC,130,4.9,(602) 918-5446,,advancedqualityroofingllc.com,Has website - sell AI receptionist + chat,@advanced_quality_roofing,https://www.instagram.com/advanced_quality_roofing/,facebook.com/AdvancedQualityRoofing,info@advancedqualityroofing.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,The Roofing Company,134,4.9,(480) 497-9651,935 E Sorenson Cir,theroofingcompanyinc.com,Has website - sell AI receptionist + chat,@theroofingcompanyinc,https://www.instagram.com/theroofingcompanyinc/,facebook.com/theroofingcompanyinc,info@theroofingcompanyinc.com; joshua@theroofingcompanyinc.com; trent@theroofingcompanyinc.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Koala-T Roofing,143,4.9,(602) 348-6127,30304 N 163rd Ave,koalatroofing.com,Has website - sell AI receptionist + chat,@koalatroofing,https://www.instagram.com/koalatroofing/,facebook.com/koalatroofs,dnnmoro@yahoo.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Estrella Roofing LLC,148,4.7,(602) 373-4313,2622 N 115th Dr,estrellaroofing.com,Has website - sell AI receptionist + chat,@estrellaroofingllc,https://www.instagram.com/estrellaroofingllc/,facebook.com/estrellaroofingphoenix,office@estrellaroofing.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,D & M Roofing LLC,29,4.6,(480) 745-4597,25600 W MC 85,dandmroofingllc.com,Has website - sell AI receptionist + chat,@d_and_m__roofing_llc,https://www.instagram.com/d_and_m__roofing_llc/,facebook.com/dmroofingllc,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Hays Roofing,31,4.5,(602) 854-0423,1717 W Latham St,haysroofing.com,Has website - sell AI receptionist + chat,@haysroofing,https://www.instagram.com/haysroofing/,facebook.com/people/Hays-Roofing-Inc/61575640272696,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,JLC Roofing Inc,33,4.1,(623) 878-9832,8760 N 77th Dr,jlcroofingaz.com,Has website - sell AI receptionist + chat,@jlcroofingaz,https://www.instagram.com/jlcroofingaz/,facebook.com/profile.php,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,United Legends Roofing,36,5.0,(623) 248-6031,16357 W Yuma Rd,unitedlegendsroofing.com,Has website - sell AI receptionist + chat,,,facebook.com/p/United-Legends-Roofing-61563867328812,timothy@unitedlegendsroofing.com,Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Arizona Roofing Solutions,40,4.9,(480) 770-5055,1533 N Alma School Rd,arizonaroofsolutions.com,Has website - sell AI receptionist + chat,@arizonaroofingsolutions,https://www.instagram.com/arizonaroofingsolutions/,,contact@arizonaroofsolutions.com,IG DM + Email + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Roof Masters of Arizona,43,5.0,(602) 799-3332,4535 N 12th St,roofmastersarizona.com,Has website - sell AI receptionist + chat,@roofmasters_az,https://www.instagram.com/roofmasters_az/,facebook.com/roofmastersofarizona,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Ghost Roofing,44,4.9,(602) 625-7477,201 E Washington St Ste 500,ghostroofing.com,Has website - sell AI receptionist + chat,@ghostroofing,https://www.instagram.com/ghostroofing/,facebook.com/p/Ghost-Roofing-100094161937029,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Glendale Roofing & Construction LLC,48,4.1,(623) 937-2540,13352 N 83rd Ave Suite A100,glendaleroofing.com,Has website - sell AI receptionist + chat,@glendale_roofing,https://www.instagram.com/glendale_roofing/,,info@glendaleroofing.com,IG DM + Email + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,First Response Roofing,71,4.9,(480) 924-4444,1371 E Indigo St,firstresponseroofingaz.com,Has website - sell AI receptionist + chat,@firstresponseroofing,https://www.instagram.com/firstresponseroofing/,facebook.com/FirstResponseRoofingAZ,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,STARLIGHT ROOFING,76,5.0,(480) 244-5270,2801 E Camelback Rd Ste 200,starlightroofingcompany.com,Has website - sell AI receptionist + chat,@starlightroofingcompany,https://www.instagram.com/starlightroofingcompany/,,bryce@starlightroofingcompany.com,IG DM + Email + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,YM Roofing LLC,96,4.9,(602) 550-6369,13419 W Almeria Rd,ymroofing.com,Has website - sell AI receptionist + chat,@ymroofingllc,https://www.instagram.com/ymroofingllc/,facebook.com/YMRoofingLLC,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Phoenix Pro Roofing,100,5.0,(602) 342-6973,16165 N 83rd Ave Ste 200,phoenixproroofing.com/peoria-roofers,Has website - sell AI receptionist + chat,@phoenixproroofing,https://www.instagram.com/phoenixproroofing/,facebook.com/PhoenixProRoofing,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Monsoon Roofing Inc,103,5.0,(480) 699-2754,1901 S 131st St,monsoonroofinginc.com,Has website - sell AI receptionist + chat,@monsoonroofinginc_az,https://www.instagram.com/monsoonroofinginc_az/,facebook.com/MonsoonRoofingInc,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Arizona Roofing and Restoration,137,5.0,(602) 931-9464,6531 N 10th Pl,azroofpros.com,Has website - sell AI receptionist + chat,,,facebook.com/p/Arizona-Roofing-and-Restoration-61557138591243,emailinfo@azroofpros.com,Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Reyes Roofing LLC,145,4.9,(480) 828-3040,2733 W Maryland Ave,reyesroofingllc.co,Has website - sell AI receptionist + chat,@reyesroofing_llc,https://www.instagram.com/reyesroofing_llc/,facebook.com/roofingreyesllc,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Boss Roofing and Home Restoration,19,4.6,(623) 900-8663,,bossroofingandhomerestoration.com,Has website - sell AI receptionist + chat,,,facebook.com/61574503526169,,FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Arizona Roof Busters,20,4.7,(602) 638-9342,4112 E Arbor Ave,azroofbusters.com,Has website - sell AI receptionist + chat,@arizona_roof_busters__llc,https://www.instagram.com/arizona_roof_busters__llc/,,,IG DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Star Roofing,41,4.4,(602) 944-3323,9201 N 9th Ave,starroofingaz.com,Has website - sell AI receptionist + chat,,,facebook.com/StarRoof,,FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Casa Roofing LLC,48,5.0,(623) 418-3204,16021 N 30th St,casaroofingllc.com,Has website - sell AI receptionist + chat,,,facebook.com/CasaRoofingLLC,,FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Essential Roofing Guys Buckeye,54,4.7,(623) 471-5070,608 Monroe Ave #2,essentialroofingguys.com/buckeye-az,Has website - sell AI receptionist + chat,,,,info@essentialroofingguys.com; me@essentialroofingguys.com,Email + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,"Rapid Roofing Plus, LLC",59,4.6,(623) 628-6372,3275 N Clanton St,rapidroofingplus.com,Has website - sell AI receptionist + chat,,,,rapidroofingplusllc@gmail.com,Email + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,"PCC Roofing & Construction, LLC",60,5.0,(602) 529-3332,,pccroofs.com,Has website - sell AI receptionist + chat,,,,info@pccroofs.com,Email + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Premier Roofing Contractors LLC.,62,4.9,(480) 387-7649,,fixazroofs.com,Has website - sell AI receptionist + chat,@premierroofingcontractorsllc.1,https://www.instagram.com/premierroofingcontractorsllc.1/,,,IG DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Priority Metal Roofing,40,4.9,(602) 560-9619,"Tierra Norte, 11731 W River Rd",metalroofingelmirage.com,Has website - sell AI receptionist + chat,,,,,Call,NONE - hot lead,,,Not contacted,,,
B - good,Arizona Native Roofing,5,4.0,(602) 348-6559,24008 N 104th Ave,arizonanativeroofing.com,Has website - sell AI receptionist + chat,@aznativeroofing,https://www.instagram.com/aznativeroofing/,facebook.com/arizonanativeroofing,info@arizonanativeroofing.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Canyon State Roofing & Consulting,152,5.0,(602) 400-1635,4809 E Thistle Landing Dr #100,canyonstateroofs.com,Has website - sell AI receptionist + chat,@canyonstateroofing,https://www.instagram.com/canyonstateroofing/,facebook.com/canyonstateroofing,info@canyonstateroofs.com; jim@canyonstateroofs.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Black Wolf Roofing,161,4.9,(602) 818-5364,125 N Sunway Dr,blackwolfroofingco.com,Has website - sell AI receptionist + chat,@blackwolfroofingco,https://www.instagram.com/blackwolfroofingco/,facebook.com/people/Black-Wolf-Roofing/61571467125365,newprojects@blackwolfroofingco.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Phoenix Roofers by Allstate Roofing Contractors,218,4.9,(602) 484-7663,2955 W Clarendon Ave,allstateroofingaz.com/phoenix,Has website - sell AI receptionist + chat,@allstateroofingaz,https://www.instagram.com/allstateroofingaz/,facebook.com/Allstate-Roofing-Inc-113231817261436,info@allstateroofingaz.com; kathy@allstateroofingaz.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Titan Roofing & Construction,239,4.9,(602) 300-0177,1107 S Gilbert Rd #210,titanroofingaz.com,Has website - sell AI receptionist + chat,@TitanRoofingAZ,https://www.instagram.com/TitanRoofingAZ/,facebook.com/TitanRoofingAZ,sead@titanroofingaz.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Scott Roofing Company,261,4.7,(602) 442-7663,24777 N 15th Ave,scottroofingco.com,Has website - sell AI receptionist + chat,@scottroofingco,https://www.instagram.com/scottroofingco/,facebook.com/scottroofingco,kmcatee@scottroofingco.com; mhatcher@scottroofingco.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,RENCO Roofing,324,4.6,(602) 806-9799,2210 W Shangri La Rd a1,rencoroofing.com,Has website - sell AI receptionist + chat,@rencoroofing,https://www.instagram.com/rencoroofing/,facebook.com/rencoroofing,admin@rencoroofing.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Multi-Pro Roof Solutions,338,4.9,(602) 888-7663,2027 W Bethany Home Rd,multiproroof.com,Has website - sell AI receptionist + chat,@multiproroofsolutions,https://www.instagram.com/multiproroofsolutions/,facebook.com/multiproroofsolutions,office@multiproroof.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,SUNVEK Roofing,342,4.9,(623) 349-7663,525 E Pinnacle Peak Rd #180,sunvek.com/locations/phoenix,Has website - sell AI receptionist + chat,@hales_construction,https://www.instagram.com/hales_construction/,facebook.com/AZSunvekroofing,info@sunvek.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Rob's Roofing & Remodeling,375,4.7,(480) 687-3604,2198 E Camelback Rd Ste 200,robsroofing.us/locations/phoenix,Has website - sell AI receptionist + chat,@robsroofingllc,https://www.instagram.com/robsroofingllc/,facebook.com/robsroofingLLC,info@robsroofing.us,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Eco Roofing Solutions,381,4.8,(480) 695-7736,75 W Baseline Rd #19,ecoroofaz.com,Has website - sell AI receptionist + chat,@ecoroofingsolutionsaz,https://www.instagram.com/ecoroofingsolutionsaz/,facebook.com/ecoroofingsolutionsaz,info@ecoroofaz.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,EZ Roofing Company LLC,5,5.0,(623) 900-8797,18107 W Dunlap Rd,ezroofingcompany.com,Has website - sell AI receptionist + chat,@ezroofingllc,https://www.instagram.com/ezroofingllc/,facebook.com/110054898027275,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,GOAT Roofing,151,4.9,(480) 909-5548,10105 E Brown Rd,goatroofaz.com,Has website - sell AI receptionist + chat,@goatroofaz,https://www.instagram.com/goatroofaz/,facebook.com/105947348432718,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Scottsdale Roofing and Gutters,159,5.0,(480) 426-0885,8075 E Morgan Trail,scottsdaleroofingandgutters.com,Has website - sell AI receptionist + chat,@scottsdaleroofingandgutters,https://www.instagram.com/scottsdaleroofingandgutters/,,info@scottsdaleroofingandgutters.com,IG DM + Email + Call,NONE - hot lead,,,Not contacted,,,
B - good,Arizona Roofing Systems,164,4.7,(480) 218-8888,935 E Sorenson Cir,azroofingsystems.com,Has website - sell AI receptionist + chat,@azroofingsystems,https://www.instagram.com/azroofingsystems/,facebook.com/azroofingsystems,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Valley Roofing and Repair,181,5.0,(623) 250-7663,4010 N 27th Ave Building C,valleyroofingandrepair.com,Has website - sell AI receptionist + chat,@valleyroofingandrepair,https://www.instagram.com/valleyroofingandrepair/,facebook.com/p/Valley-Roofing-Repair-61574013177571,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Desert State Roofing,193,5.0,(602) 377-0683,35241 N 51st St,desertstateroofing.com,Has website - sell AI receptionist + chat,@desertstateroofing,https://www.instagram.com/desertstateroofing/,facebook.com/desertstateroofing,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Precision Roofing LLC,239,5.0,(602) 456-0323,8449 W Laurel Ln,precisionroofingaz.com,Has website - sell AI receptionist + chat,,,facebook.com/precisionroofingaz,john@precisionroofingaz.com,Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Frontline Consultants & Contracting LLC Roofing,241,4.5,(928) 252-6055,9162 W Cactus Rd D,frontlineconsultantsllc.com,Has website - sell AI receptionist + chat,@frontlineconsultantsllc,https://www.instagram.com/frontlineconsultantsllc/,facebook.com/Frontlineblue1,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Ironwood Roofing,242,4.9,(602) 909-0178,20802 N Grayhawk Dr,ironwoodroofing.com,Has website - sell AI receptionist + chat,@ironwoodroofing,https://www.instagram.com/ironwoodroofing/,facebook.com/Ironwoodroofing,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Roofs Arizona,253,5.0,(602) 463-0805,,roofsarizona.com,Has website - sell AI receptionist + chat,,,facebook.com/roofsarizona,robert@roofsarizona.com,Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Icon Roofing,321,4.9,(480) 427-7600,2150 E Brown Rd #4,iconroofingaz.com,Has website - sell AI receptionist + chat,@icon.roof,https://www.instagram.com/icon.roof/,facebook.com/iconroofingaz,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,KY-KO Roofing,373,4.6,(602) 755-4065,1825 W Knudsen Dr #220B,kykoroofing.com,Has website - sell AI receptionist + chat,@kykoroofing,https://www.instagram.com/kykoroofing/,facebook.com/KYKORoofing,,IG DM + FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Arizona Roofing Company,3,2.3,(480) 526-9455,,arizonaroofingco.com,Has website - sell AI receptionist + chat,,,facebook.com/arizonaroofingco,,FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,LHF ROOFING LLC,9,5.0,(602) 815-3876,,lhfroofingllc.com,Has website - sell AI receptionist + chat,,,facebook.com/people/LHF-Roofing-LLC/61550307263125,,FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Irish Roofing Company,220,4.9,(480) 613-8815,7377 E Doubletree Ranch Rd a 280,irishroofingcompany.com,Has website - sell AI receptionist + chat,,,,dina@irishroofingcompany.com,Email + Call,NONE - hot lead,,,Not contacted,,,
B - good,United Roofing and General Contracting,270,4.8,(602) 962-8428,7729 E Greenway Rd #100,unitedcontractinggroup.com,Has website - sell AI receptionist + chat,,,,info@unitedcontractinggroup.com,Email + Call,NONE - hot lead,,,Not contacted,,,
B - good,Brown Roofing LLC,280,4.9,(602) 626-5559,11627 N 17th Pl,brownroofingaz.com,Has website - sell AI receptionist + chat,,,facebook.com/BrownRoofing,,FB DM + Call,NONE - hot lead,,,Not contacted,,,
B - good,Armored Roofing,285,4.9,(623) 242-7122,15412 N 99th Ave Ste 30,armoredroofingusa.com,Has website - sell AI receptionist + chat,,,,armoredroofingllc@yahoo.com,Email + Call,NONE - hot lead,,,Not contacted,,,
B - good,Premium Roofing LLC,211,4.8,(602) 639-1637,14021 N 51st Ave Ste 117,premiumroofllc.com,Has website - sell AI receptionist + chat,,,,,Call,NONE - hot lead,,,Not contacted,,,
