#,Company,Instagram Handle,Instagram URL,City/Region,Phone (call/text),Email,Website,Channel Plan,Pitch Group,Chat Widget (scan/check),After-hours test date/time,Test result (voicemail/no answer/answered),Status,Date Contacted,Follow-up Date,Notes
11,Florida First Roofing LLC,@floridafirstroofing,https://www.instagram.com/floridafirstroofing/,Florida,(321) 301-4512,,floridafirstroofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
12,Florida Roofing Inc,@floridaroofinginc,https://www.instagram.com/floridaroofinginc/,Florida,,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
13,Level Best Roofing,@levelbestroofing,https://www.instagram.com/levelbestroofing/,"South Florida, FL",(844) 458-5237,info@levelbestroofing.com,levelbestroofing.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
14,R4 Florida Roofing,@r4florida,https://www.instagram.com/r4florida/,"Naples, FL",(833) 571-7663,,r4florida.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
15,Revamp Roofing,@revamproofing,https://www.instagram.com/revamproofing/,"Phoenix, AZ",(480) 470-8333,,re-vamproofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
16,Robs Roofing LLC,@robsroofingllc,https://www.instagram.com/robsroofingllc/,"Phoenix, AZ",(833) 410-9663,,robsroofingaz.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
17,Zona Roofing,@zonaroofing,https://www.instagram.com/zonaroofing/,"Phoenix, AZ",(602) 362-3009,contact@zonaroofingaz.com,zonaroofingaz.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
18,Phoenix Roofing & Repair,@bestphoenixroofers,https://www.instagram.com/bestphoenixroofers/,"Phoenix, AZ",,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
19,Almeida Roofing Inc,@almeidaroofing,https://www.instagram.com/almeidaroofing/,"Phoenix, AZ",(602) 743-3175,almeidaroofinginc1@gmail.com,almeidaroofing.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
20,Starlight Roofing Company,@starlightroofingcompany,https://www.instagram.com/starlightroofingcompany/,Arizona,(480) 244-5270,bryce@starlightroofingcompany.com,starlightroofingcompany.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
21,TSM Roofing LLC,@tsm_roofing_,https://www.instagram.com/tsm_roofing_/,"Phoenix/Prescott, AZ",(928) 232-3007,,tsmroofs.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
22,KY-KO Roofing,@kykoroofing,https://www.instagram.com/kykoroofing/,"Phoenix, AZ",(602) 944-4600,,kykoroofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
23,Phoenix Roofing Group,@phoenixroofinggroup,https://www.instagram.com/phoenixroofinggroup/,"South Florida, FL",(954) 304-9422,,,IG DM + Text/Call,"Website unknown - check, then pitch",,,,Not contacted,,,
24,50 North Roofing Company,@50northroofing,https://www.instagram.com/50northroofing/,Eastern NC,(910) 431-7865,info@50northroofing.com,50northroofing.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
25,Carolina Roof Consultants,@carolinaroofconsultants,https://www.instagram.com/carolinaroofconsultants/,North Carolina,(704) 277-4582,,carolinaroofconsultants.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
26,Excel Roofing Company,@excelroofingnc,https://www.instagram.com/excelroofingnc/,"Wilmington/Raleigh, NC",(910) 685-7102,tim@excelroofingnc.com,excelroofingnc.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
27,Escalade Roofing,@escaladeroofing,https://www.instagram.com/escaladeroofing/,North Carolina,(336) 420-4498,,,IG DM + Text/Call,"Website unknown - check, then pitch",,,,Not contacted,,,
28,Fortitude Roofing Co,@fortituderoofing,https://www.instagram.com/fortituderoofing/,Coastal NC,(252) 404-8500,,fortituderoofing.co,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
29,WNC Roofing,@wnc_roofing,https://www.instagram.com/wnc_roofing/,Western NC,(828) 392-6247,,wncroofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
30,Triangle's Trusted Roofing,@trianglestrusted,https://www.instagram.com/trianglestrusted/,"Raleigh, NC",(919) 770-9089,,mytrustedroofer.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
31,Superior Roofing & Gutters,@superiorroofingandgutters,https://www.instagram.com/superiorroofingandgutters/,"Burlington, NC",(336) 693-4852,,,IG DM + Text/Call,"Website unknown - check, then pitch",,,,Not contacted,,,
32,Denver Roof Pros,@denverroofpros,https://www.instagram.com/denverroofpros/,"Denver, CO",(303) 718-1132,,denverroofpros.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
33,Colorado Roofing Co,@coloradoroofingco,https://www.instagram.com/coloradoroofingco/,"Denver, CO",,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
34,The Roofing Company Colorado,@the_roofing_company_colorado,https://www.instagram.com/the_roofing_company_colorado/,Colorado,,,theroofingco.com,IG DM,Has website - sell AI receptionist + chat,,,,Not contacted,,,
35,Commercial Roofing Denver,@commercialroofingdenver,https://www.instagram.com/commercialroofingdenver/,"Denver, CO",,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
36,CJ Roofing,@cjroofing303,https://www.instagram.com/cjroofing303/,"Denver, CO",(303) 394-2802,,cjroofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
37,Hail Proof Roofing,@hailproofroofco,https://www.instagram.com/hailproofroofco/,"Denver, CO",(720) 983-4245,caleb@hailproofroofing.com,hailproofco.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
38,Elite Roofing & Solar,@eliteroofingco,https://www.instagram.com/eliteroofingco/,"Denver, CO",(303) 296-0361,,elite-roofs.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
39,Golden Spike Roofing,@goldenspikeroofingdnvr,https://www.instagram.com/goldenspikeroofingdnvr/,"Denver, CO",(303) 942-1386,info@goldenspikeroofing.com,goldenspikeroofing.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
40,Roofing419,@roofing.419,https://www.instagram.com/roofing.419/,"Toledo, OH",(419) 509-0456,info@roofing419.com,roofing419.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
41,Hometown Roofing & Construction,@ohioroofs,https://www.instagram.com/ohioroofs/,Northeast OH,(330) 730-0795,service@hometownroofing.us,hometownroofing.us,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
42,Highland Roofing Ohio,@highlandroofs,https://www.instagram.com/highlandroofs/,Northeast OH,,,highlandroofingohio.com,IG DM,Has website - sell AI receptionist + chat,,,,Not contacted,,,
43,5K Commercial Roofing LLC,@5kroofs,https://www.instagram.com/5kroofs/,Northern OH,(440) 643-1178,sales@5kroofing.com,5kroofing.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
44,Muth & Co Roofing,@muth.roofing,https://www.instagram.com/muth.roofing/,Central OH,(614) 882-0900,admin@muthroofing.com,muthroofing.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
45,Spartan Roofing & Renovations,@spartanroofing,https://www.instagram.com/spartanroofing/,Southwest OH,(937) 532-0315,spartanroofingllc@gmail.com,spartanroofingllc.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
46,Canton Roofing Company,@cantonroofingco,https://www.instagram.com/cantonroofingco/,"Canton, OH",(330) 639-9454,,cantonroofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
47,Nashville Roofing and Construction Co,@nashroofingco,https://www.instagram.com/nashroofingco/,"Nashville, TN",(615) 800-4355,,nashvilleroofingco.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
48,Roofsmith Restoration,@roofsmithnashville,https://www.instagram.com/roofsmithnashville/,"Nashville, TN",(615) 203-7663,joe@roof-smith.com,roof-smith.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
49,L&L Contractors LLC,@landlcontractorsllc,https://www.instagram.com/landlcontractorsllc/,"Murfreesboro, TN",(615) 617-3189,,landlcontractors.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
50,Bill Ragan Roofing Company,@billraganroofing,https://www.instagram.com/billraganroofing/,"Nashville, TN",(615) 242-0333,,billraganroofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
51,Mr. GoodRoof,@therealmrgoodroof,https://www.instagram.com/therealmrgoodroof/,Middle TN,(615) 824-8100,,mrgoodroof.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
52,Taltek Commercial Roofing,@taltekroofing,https://www.instagram.com/taltekroofing/,"Nashville, TN",(615) 448-6349,sales@taltekroofing.com,taltekroofing.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
53,Music City Roofers,@musiccityroofers,https://www.instagram.com/musiccityroofers/,"Nashville, TN",(615) 900-4000,info@musiccityroofers.com,musiccityroofers.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
54,TN Roofing Pro,@tnroofingpro,https://www.instagram.com/tnroofingpro/,Tennessee,,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
55,Maupin Roofing,@maupinroofingok,https://www.instagram.com/maupinroofingok/,"Oklahoma City, OK",(405) 703-3843,,,IG DM + Text/Call,"Website unknown - check, then pitch",,,,Not contacted,,,
56,Oklahoma Roofing Solutions,@okroofingsolutions,https://www.instagram.com/okroofingsolutions/,"Oklahoma City, OK",(405) 268-4658,,oklahomaroofingsolutions.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
57,Alva Roofing Company,@alvaroofing,https://www.instagram.com/alvaroofing/,"Oklahoma City, OK",(405) 677-8733,alvaroofing@mac.com,alvaroofing.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
58,Jones Roofing & Construction,@jonesroofingok,https://www.instagram.com/jonesroofingok/,Oklahoma,(405) 261-2527,jrc@jonesroofs.com,jonesroofs.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
59,All American Roofing OK,@allamericanroofingok,https://www.instagram.com/allamericanroofingok/,"OKC/Tulsa, OK",(405) 369-8294,,allamericanroofingok.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
60,Red River Roofing Siding & Windows,@redriveroklahoma,https://www.instagram.com/redriveroklahoma/,Oklahoma,(405) 330-0028,info@redriveroklahoma.com,redriveroklahoma.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
61,Yates Roofing & Construction,@yatesroofingokc,https://www.instagram.com/yatesroofingokc/,"Oklahoma City, OK",(405) 607-0966,service@yatesok.com,yatesok.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
62,Minnesota Roofing Company,@mnroofingco,https://www.instagram.com/mnroofingco/,Minnesota,(612) 888-7663,info@mnroofingco.com,mnroofingco.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
63,Minnesota Made Roofing and Remodeling,@mnmadellc,https://www.instagram.com/mnmadellc/,"Twin Cities, MN",(763) 350-2509,,mnmadellc.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
64,Central Roofing Company,@centralroofingcompany,https://www.instagram.com/centralroofingcompany/,"Minneapolis, MN",(763) 572-0660,info@centralroofing.com,centralroofing.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
65,Owl Roofing,@owlroofing,https://www.instagram.com/owlroofing/,"Shoreview, MN",(651) 977-6027,info@owlroofing.com,owlroofing.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
66,Higher Dimensions Roofing,@higher_dimensions_roofing,https://www.instagram.com/higher_dimensions_roofing/,"St. Cloud, MN",(320) 204-6997,,saintcloudroofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
67,Omega Exteriors,@omegaexteriors,https://www.instagram.com/omegaexteriors/,"Farmington, MN",(651) 998-8500,info@omega-exteriors.com,omega-exteriors.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
68,CMS Roofing of South Carolina,@cmsroofingofsouthcarolina,https://www.instagram.com/cmsroofingofsouthcarolina/,South Carolina,(843) 732-5558,,cmsroofingsc.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
69,PCS Roofing,@pcsroofing,https://www.instagram.com/pcsroofing/,Upstate SC,(864) 862-8887,info@pcsroofing.com,pcsroofing.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
70,Modern Roofing,@modernroofingusa,https://www.instagram.com/modernroofingusa/,South Carolina,(866) 766-0644,marketing@modernroofingusa.com,modernroofingusa.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
71,RPI Roofing,@rpiroof,https://www.instagram.com/rpiroof/,GA/SC/FL,(912) 756-7663,,rpiroof.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
72,Monarch Roofing,@monarchroofing,https://www.instagram.com/monarchroofing/,SC/NC/GA,(843) 839-7663,info@monarchroofing.biz,monarchroofing.biz,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
73,Crosby Roofing & Seamless Gutters,@crosby_roofing_sc,https://www.instagram.com/crosby_roofing_sc/,"Columbia, SC",(803) 648-7250,,crosbyroofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
74,Chucktown Roofing,@chucktownroofing,https://www.instagram.com/chucktownroofing/,"Charleston, SC",(843) 410-8783,info@chucktownroofing.co,chucktownroofing.co,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
75,Kansas City Roofing Services,@bestroofingkansascity,https://www.instagram.com/bestroofingkansascity/,"Kansas City, MO",(913) 318-8097,,bestroofinginkansascity.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
76,RoyCo Roofing,@roycoroofing,https://www.instagram.com/roycoroofing/,"Kansas City, MO",(913) 730-7663,,roycoroof.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
77,Alabama Roofing Professionals,@alroofpros,https://www.instagram.com/alroofpros/,Alabama,,,alroofpros.com,IG DM,Has website - sell AI receptionist + chat,,,,Not contacted,,,
78,Alabama Roof Pro LLC,@alabamaroofpro,https://www.instagram.com/alabamaroofpro/,Alabama,(205) 825-0744,richard@alabamaroofpro.com,,IG DM + Email + Text/Call,"Website unknown - check, then pitch",,,,Not contacted,,,
79,Goat Roofing LLC,@goatroofingusa,https://www.instagram.com/goatroofingusa/,"Auburn, AL",(334) 559-0935,,goat-roofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
80,American Roofing,@american.roofing,https://www.instagram.com/american.roofing/,Alabama,(251) 379-9712,,americanroofingco.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
81,Henderson Roofing Inc,@hendersonroofing,https://www.instagram.com/hendersonroofing/,North Alabama,(256) 767-7166,,hendersonroofing.net,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
82,McKinney & Sons Roofing,@mckinneyroof,https://www.instagram.com/mckinneyroof/,North Alabama,(256) 330-2065,,mckinney-roof.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
83,West Michigan Roofing,@westmichiganroofing,https://www.instagram.com/westmichiganroofing/,West Michigan,(616) 747-8250,frontdesk@westmichiganroofing.com,westmichiganroofing.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
84,Neighborhood Roofing,@neighborhoodroofing,https://www.instagram.com/neighborhoodroofing/,Southeast MI,(734) 994-6500,,neighborhoodroofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
85,Rapid Roofing MI,@rapidroofingmi,https://www.instagram.com/rapidroofingmi/,"Metro Detroit, MI",(734) 895-9553,,rapidroofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
86,Big Rapids Roofing,@bigrapidsroofing,https://www.instagram.com/bigrapidsroofing/,Northern MI,(231) 629-8088,,bigrapidsroofing.net,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
87,Yeager Roofing,@yeagergreenarmy,https://www.instagram.com/yeagergreenarmy/,"Saginaw, MI",(989) 401-4772,,yeagerroofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
88,Roofman,@roofmanusa,https://www.instagram.com/roofmanusa/,Southeast MI,(734) 662-3300,office@roofmanusa.com,roofmanusa.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
89,Early Bird Roofing,@earlybirdroof,https://www.instagram.com/earlybirdroof/,Southeast MI,(810) 735-3900,matt@earlybirdroof.com,earlybirdroof.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
90,4Ever Metal Roofing,@4evermetalroofing,https://www.instagram.com/4evermetalroofing/,IN/OH/MI,(260) 234-2252,support@4evermetalroofing.com,4evermetalroofing.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
91,Roof Wiz,@roofwiz_,https://www.instagram.com/roofwiz_/,MI/IN,(269) 241-9979,,roofwiz.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
92,Barrett Roofing,@barrettroofingcorp,https://www.instagram.com/barrettroofingcorp/,Michigan,(248) 245-5602,barrettroofingcorp@gmail.com,barrettroofing.net,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
93,Aspen Roofing,@aspenroofingslc,https://www.instagram.com/aspenroofingslc/,"Salt Lake City, UT",(801) 483-1660,,aspen-roofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
94,Brady Roofing,@bradyroofing,https://www.instagram.com/bradyroofing/,"Salt Lake City, UT",(801) 487-5151,,bradyroofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
95,We Do Roofing,@wedoroofingslc,https://www.instagram.com/wedoroofingslc/,"Salt Lake City, UT",(801) 953-2877,,wedoroofingslc.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
96,Vertex Roofing,@vertexroofingslc,https://www.instagram.com/vertexroofingslc/,"Salt Lake City, UT",(801) 639-0477,,vertexroofingslc.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
97,Utah Roofing Pros,@utahroofingpros,https://www.instagram.com/utahroofingpros/,"Salt Lake City, UT",(801) 688-3853,,utahroofingpros.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
98,Whitaker Roofing Services,@whitakerroofingservices,https://www.instagram.com/whitakerroofingservices/,"Salt Lake Valley, UT",(801) 576-1681,info@whitakerroofing.com,whitakerroofing.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
99,MAD Roofing,@mad.roofing,https://www.instagram.com/mad.roofing/,"Ogden-Provo, UT",(801) 900-3296,,madroofers.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
100,Superior Roofing Inc,@superiorroofing_inc,https://www.instagram.com/superiorroofing_inc/,Utah,(801) 266-1473,,superior-roof.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
